KNBE	KnowBe4	Software-Infrastructure	4.49B
KNDI	Kandi Technologies	Auto Components	350.70M
KNOP	KNOT Offshore Partners	Oil, Gas & Consumable Fuels	594.34M
KNSA	Kiniksa Pharmaceuticals	Biotechnology	849.69M
KNSL	Kinsale Capital Group	Insurance	3.78B
KNTE	Kinnate Biopharma	Biotechnology	1.04B
KNX	Knight-Swift Transportation	Road & Rail	8.60B
KO	Coca-Cola	Beverages	240.05B
KOD	Kodiak Sciences	Biotechnology	4.96B
KODK	Eastman Kodak	Technology Hardware, Storage & Periph...	550.02M
KOF	Coca-Cola Femsa	Beverages	12.01B
KOP	Koppers Holdings	Chemicals	677.74M
KOPN	Kopin Corporation	Semiconductors & Semiconductor Equipment	536.13M
KOR	Corvus Gold	Gold	397.51M
KOS	Kosmos Energy	Oil, Gas & Consumable Fuels	951.75M
KOSS	Koss Corporation	Household Durables	163.24M
KPLT	Katapult	Software-Infrastructure	624.50M
KPTI	Karyopharm Therapeutics	Biotechnology	437.13M
KR	Kroger	Food & Staples Retailing	31.88B
KRA	Kraton	Chemicals	1.31B
KRBP	Kiromic BioPharma	Biotechnology	55.88M
KRC	Kilroy Realty	Equity Real Estate Investment Trusts...	7.41B
KREF	KKR Real Estate Finance Trust	Mortgage Real Estate Investment Trus...	1.17B
KRG	Kite Realty Group Trust	Equity Real Estate Investment Trusts...	1.68B
KRKR	36Kr Holdings	Interactive Media & Services	72.87M
KRMD	Repro-Med Systems	Health Care Equipment & Supplies	131.31M
KRNL	Kernel Group Holdings	Shell Companies	370.27M
KRNT	Kornit Digital	Machinery	6.54B
KRNY	Kearny Financial	Thrifts & Mortgage Finance	958.71M
KRO	Kronos Worldwide	Chemicals	1.44B
KRON	Kronos Bio	Biotechnology	1.39B
KROS	Keros Therapeutics	Biotechnology	734.91M
KRP	Kimbell Royalty Partners	Oil, Gas & Consumable Fuels	518.43M
KRT	Karat Packaging	Packaging & Containers	453.32M
KRTX	Karuna Therapeutics	Biotechnology	3.52B
KRUS	Kura Sushi USA	Hotels, Restaurants & Leisure	445.29M
KRYS	Krystal Biotech	Biotechnology	1.29B
KSI	Kadem Sustainable Impact	Shell Companies	212.41M
KSPN	Kaspien Holdings	Specialty Retail	50.13M
KSS	Kohl's	Multiline Retail	7.79B
KSU	Kansas City Southern	Road & Rail	25.47B
KT	KT Corporation	Diversified Telecommunication Services	6.55B
KTB	Kontoor Brands	Textiles, Apparel & Luxury Goods	3.08B
KTCC	Key Tronic	Electronic Equipment, Instruments & C...	70.60M
KTOS	Kratos Defense & Security Solutions	Aerospace & Defense	2.81B
KTRA	Kintara Therapeutics	Biotechnology	48.93M
KUKE	Kuke Music	Entertainment	177.10M
KULR	KULR Technology Group	Electronic Components	228.83M
KURA	Kura Oncology	Biotechnology	1.37B
KURI	Alkuri Global Acquisition	Shell Companies	427.80M
KVHI	KVH Industries	Communications Equipment	187.35M
KVSA	Khosla Ventures Acquisition	Shell Companies	449.44M
KVSB	Khosla Ventures Acquisition II	Shell Companies	530.93M
KVSC	Khosla Ventures Acquisition III	Shell Companies	598.29M
KW	Kennedy-Wilson Holdings	Real Estate Management & Development	3.25B
KWAC	Kingswood Acquisition	Shell Companies	145.51M
KWR	Quaker Chemical	Chemicals	4.64B
KXIN	Kaixin Auto	Specialty Retail	454.77M
KYMR	Kymera Therapeutics	Biotechnology	3.40B
KZIA	Kazia Therapeutics	Biotechnology	140.98M
KZR	Kezar Life Sciences	Biotechnology	364.82M
L	Loews	Insurance	13.76B
LAAA	Lakeshore Acquisition I	Shell Companies	63.77M
LABP	Landos Biopharma	Biotechnology	577.29M
LAC	Lithium Americas	Metals & Mining	2.70B
LAD	Lithia Motors	Specialty Retail	10.10B
LADR	Ladder Capital	Mortgage Real Estate Investment Trus...	1.36B
LAIX	LAIX Inc.	Diversified Consumer Services	49.76M
LAKE	Lakeland Industries	Textiles, Apparel & Luxury Goods	162.36M
LAMR	Lamar Advertising	Equity Real Estate Investment Trusts...	11.09B
LANC	Lancaster Colony	Food Products	4.76B
LAND	Gladstone Land	Equity Real Estate Investment Trusts...	699.85M
LARK	Landmark Bancorp	Banks	130.98M
LASR	nLIGHT, Inc.	Electronic Equipment, Instruments & C...	1.16B
LATN	Union Acquisition Corp. II	Shell Companies	188.48M
LAUR	Laureate Education	Diversified Consumer Services	3.16B
LAW	CS Disco	Software-Application	3.70B
LAWS	Lawson Products	Trading Companies & Distributors	458.37M
LAZ	Lazard	Capital Markets	5.41B
LAZR	Luminar Technologies	Software-Application	5.93B
LAZY	Lazydays Holdings	Specialty Retail	271.91M
LBAI	Lakeland Bancorp	Banks	840.49M
LBC	Luther Burbank	Thrifts & Mortgage Finance	643.96M
LBPH	Longboard Pharmaceuticals	Biotechnology	188.85M
LBPS	4D pharma	Biotechnology	197.12M
LBRDA	Liberty Broadband	Media	33.17B
LBRDK	Liberty Broadband	Media	33.17B
LBRT	Liberty Oilfield Services	Energy Equipment & Services	1.77B
LBTYA	Liberty Global	Media	15.90B
LBTYB	Liberty Global	Media	15.90B
LBTYK	Liberty Global	Media	15.90B
LC	LendingClub	Consumer Finance	2.96B
LCA	Landcadia Holdings IV	Shell Companies	609.44M
LCAA	L Catterton Asia Acquisition	Shell Companies	346.68M
LCAP	Lionheart Acquisition II	Shell Companies	291.35M
LCI	Lannett Company	Pharmaceuticals	134.86M
LCID	Lucid Group	Auto Manufacturers	32.26B
LCII	LCI Industries	Auto Components	3.30B
LCNB	LCNB Corporation	Banks	212.51M
LCTX	Lineage Cell Therapeutics	Biotechnology	390.18M
LCUT	Lifetime Brands	Household Durables	390.40M
LDHA	LDH Growth I	Shell Companies	242.75M
LDI	loanDepot	Mortgage Finance	2.31B
LDL	Lydall	Machinery	1.12B
LDOS	Leidos Holdings	IT Services	13.77B
LE	Lands' End	Internet & Direct Marketing Retail	835.74M
LEA	Lear Corporation	Auto Components	9.25B
LEAP	Ribbit LEAP	Shell Companies	592.66M
LECO	Lincoln Electric Holdings	Machinery	7.92B
LEDS	SemiLEDs	Semiconductors & Semiconductor Equipment	40.84M
LEE	Lee Enterprises	Media	144.28M
LEG	Leggett & Platt	Household Durables	6.22B
LEGA	Lead Edge Growth Opportunities	Shell Companies	364.13M
LEGH	Legacy Housing	Household Durables	458.16M
LEGN	Legend Biotech	Biotechnology	5.41B
LEGO	Legato Merger Corp	Shell Companies	354.59M
LEJU	Leju Holdings	Internet & Direct Marketing Retail	183.99M
LEN	Lennar	Household Durables	30.66B
LEN.B	Lennar	Construction & Engineering	30.50B
LESL	Leslie's	Home Improvement Retail	4.71B
LEU	Centrus Energy	Oil, Gas & Consumable Fuels	467.67M
LEV	Lion Electric	Farm & Heavy Construction Machinery	2.06B
LEVI	Levi Strauss & Co.	Textiles, Apparel & Luxury Goods	10.65B
LEVL	Level One Bancorp	Banks	214.02M
LEXX	Lexaria Bioscience	Biotechnology	35.33M
LFC	China Life Insurance	Insurance	115.23B
LFMD	LifeMD	Pharmaceutical Retailers	190.72M
LFST	Lifestance Health Group	Medical Care Facilities	6.08B
LFT	Lument Finance Trust	REIT-Mortgage	98.79M
LFTR	Lefteris Acquisition	Shell Companies	252.14M
LFUS	Littelfuse	Electronic Equipment, Instruments & C...	6.71B
LFVN	LifeVantage Corporation	Personal Products	103.18M
LGAC	Lazard Growth Acquisition I	Shell Companies	699.34M
LGF.A	Lions Gate Entertainment	Entertainment	2.80B
LGF.B	Lions Gate Entertainment	Entertainment	2.80B
LGHL	Lion Group Holding	Asset Management	48.32M
LGIH	LGI Homes	Household Durables	3.77B
LGL	LGL Group	Electronic Equipment, Instruments & C...	57.78M
LGND	Ligand Pharmaceuticals	Biotechnology	2.28B
LGO	Largo Resources	Other Industrial Metals & Mining	838.21M
LGV	Longview Acquisition II	Shell Companies	716.30M
LGVN	Longeveron	Biotechnology	71.30M
LH	LabCorp	Health Care Providers & Services	29.01B
LHAA	Lerer Hippeau Acquisition	Shell Companies	284.14M
LHC	Leo Holdings II	Shell Companies	454.22M
LHCG	LHC Group	Health Care Providers & Services	5.57B
LHDX	Lucira Health	Diagnostics & Research	361.06M
LHX	L3Harris Technologies	Aerospace & Defense	46.54B
LI	Li Auto	Automobiles	31.58B
LICY	Li-Cycle	Waste Management	1.31B
LIDR	AEye	Auto Parts	1.22B
LIFE	aTyr Pharma	Biotechnology	92.72M
LII	Lennox International	Building Products	11.94B
LIII	Leo Holdings III	Shell Companies	341.34M
LILA	Liberty Latin America	Diversified Telecommunication Services	3.10B
LILAK	Liberty Latin America	Media	3.13B
LIN	Linde	Chemicals	160.31B
LINC	Lincoln Educational Services	Diversified Consumer Services	165.07M
LIND	Lindblad Expeditions	Hotels, Restaurants & Leisure	675.97M
LIQT	LiqTech International	Machinery	115.86M
LITB	LightInTheBox	Internet & Direct Marketing Retail	179.36M
LITE	Lumentum Holdings	Communications Equipment	6.24B
LITT	Logistics Innovation Technologies	Shell Companies	378.98M
LIVE	Live Ventures	Household Durables	67.46M
LIVN	LivaNova	Health Care Equipment & Supplies	4.41B
LIVX	LiveXLive Media	Entertainment	254.62M
LIXT	Lixte Biotechnology	Biotechnology	31.89M
LIZI	Lizhi Inc.	Internet Content & Information	200.11M
LJAQ	LightJump Acquisition	Shell Companies	170.75M
LJPC	La Jolla Pharmaceutical	Biotechnology	112.15M
LKCO	Luokung Technology	Interactive Media & Services	474.58M
LKFN	Lakeland Financial	Banks	1.66B
LKQ	LKQ Corporation	Distributors	14.90B
LL	Lumber Liquidators	Specialty Retail	563.31M
LLNW	Limelight Networks	IT Services	323.10M
LLY	Eli Lilly	Pharmaceuticals	229.10B
LMACA	Liberty Media Acquisition	Shell Companies	723.06M
LMAO	LMF Acquisition Opportunities	Shell Companies	129.63M
LMAT	LeMaitre Vascular	Health Care Equipment & Supplies	1.28B
LMB	Limbach Holdings	Construction & Engineering	72.90M
LMFA	LM Funding America	Diversified Financial Services	24.26M
LMND	Lemonade	Insurance	4.60B
LMNL	Liminal BioSciences	Biotechnology	76.36M
LMNR	Limoneira	Food Products	275.89M
LMPX	LMP Automotive Holdings	Specialty Retail	161.03M
LMRK	Landmark Infrastructure Partners	Real Estate Management & Development	420.31M
LMST	Limestone Bancorp	Banks	133.05M
LMT	Lockheed Martin	Aerospace & Defense	95.78B
LNC	Lincoln National	Insurance	12.30B
LND	BrasilAgro	Food Products	543.70M
LNDC	Landec	Food Products	312.29M
LNFA	L&F Acquisition	Shell Companies	214.76M
LNG	Cheniere Energy	Oil, Gas & Consumable Fuels	22.56B
LNN	Lindsay Corporation	Machinery	1.74B
LNSR	LENSAR, Inc	Medical Devices	89.84M
LNT	Alliant Energy	Electric Utilities	14.96B
LNTH	Lantheus Holdings	Health Care Equipment & Supplies	1.76B
LOAN	Manhattan Bridge Capital	Mortgage Real Estate Investment Trus...	72.30M
LOB	Live Oak Bancshares	Banks	2.45B
LOCO	El Pollo Loco	Hotels, Restaurants & Leisure	643.73M
LODE	Comstock Mining	Metals & Mining	170.05M
LOGC	LogicBio Therapeutics	Biotechnology	150.56M
LOGI	Logitech International	Technology Hardware, Storage & Periph...	17.13B
LOKB	Live Oak Acquisition II	Shell Companies	315.93M
LOKM	Live Oak Mobility Acquisition	Shell Companies	309.92M
LOMA	Loma Negra	Construction Materials	1.58B
LOOP	Loop Industries	Chemicals	505.09M
LOPE	Grand Canyon Education	Diversified Consumer Services	3.95B
LORL	Loral Space & Communications	Media	1.24B
LOTZ	CarLotz	Auto & Truck Dealerships	480.82M
LOV	Spark Networks SE	Interactive Media & Services	87.54M
LOVE	Lovesac	Household Durables	1.02B
LOW	Lowe's	Specialty Retail	141.48B
LPCN	Lipocine	Pharmaceuticals	106.83M
LPG	Dorian LPG	Oil, Gas & Consumable Fuels	506.30M
LPI	Laredo Petroleum	Oil, Gas & Consumable Fuels	1.00B
LPL	LG Display	Electronic Equipment, Instruments & C...	6.18B
LPLA	LPL Financial Holdings	Capital Markets	11.56B
LPRO	Open Lending Corp.	Capital Markets	5.22B
LPSN	LivePerson	Software	4.64B
LPTH	LightPath Technologies	Electronic Equipment, Instruments & C...	57.38M
LPTX	Leap Therapeutics	Biotechnology	87.12M
LPX	Louisiana-Pacific	Paper & Forest Products	6.00B
LQDA	Liquidia Technologies	Pharmaceuticals	141.37M
LQDT	Liquidity Services	Internet & Direct Marketing Retail	820.60M
LRCX	Lam Research	Semiconductors & Semiconductor Equipment	84.90B
LRFC	Logan Ridge Finance	Asset Management	71.02M
LRMR	Larimar Therapeutics	Biotechnology	240.33M
LRN	Stride	Diversified Consumer Services	1.39B
LSAQ	LifeSci Acquisition II	Shell Companies	99.71M
LSBK	Lake Shore Bancorp	Thrifts & Mortgage Finance	85.76M
LSCC	Lattice Semiconductor	Semiconductors & Semiconductor Equipment	8.56B
LSEA	Landsea Homes	Real Estate-Development	407.27M
LSF	Laird Superfood	Packaged Foods	164.71M
LSI	Life Storage	Equity Real Estate Investment Trusts...	9.85B
LSPD	Lightspeed Commerce	Software	17.74B
LSTR	Landstar System	Road & Rail	6.19B
LTBR	Lightbridge	Professional Services	39.92M
LTC	LTC Properties	Equity Real Estate Investment Trusts...	1.33B
LTCH	Latch	Software-Application	1.94B
LTHM	Livent	Chemicals	4.08B
LTRN	Lantern Pharma	Biotechnology	150.87M
LTRPA	Liberty TripAdvisor Holdings	Interactive Media & Services	353.91M
LTRPB	Liberty TripAdvisor Holdings	Interactive Media & Services	353.91M
LTRX	Lantronix	Communications Equipment	193.41M
LU	Lufax Holding	Consumer Finance	19.82B
LUB	Luby's, Inc.	Hotels, Restaurants & Leisure	130.69M
LULU	Lululemon Athletica	Textiles, Apparel & Luxury Goods	57.46B
LUMN	Lumen Technologies	Diversified Telecommunication Services	13.23B
LUMO	Lumos Pharma	Biotechnology	93.52M
LUNA	Luna Innovations	Electronic Equipment, Instruments & C...	332.94M
LUNG	Pulmonx	Health Care Equipment & Supplies	1.42B
LUV	Southwest Airlines	Airlines	28.34B
LUXA	Lux Health Tech Acquisition	Shell Companies	425.21M
LVOX	LiveVox	Software-Infrastructure	657.67M
LVRA	Levere Holdings	Shell Companies	302.81M
LVS	Las Vegas Sands	Hotels, Restaurants & Leisure	31.97B
LVTX	LAVA Therapeutics	Biotechnology	167.28M
LW	Lamb Weston	Food Products	8.78B
LWAY	Lifeway Foods	Food Products	79.95M
LWLG	Lightwave Logic	Chemicals	1.11B
LX	LexinFintech Holdings	Consumer Finance	1.22B
LXEH	Lixiang Education	Education & Training Services	126.67M
LXFR	Luxfer Holdings	Machinery	569.40M
LXP	Lexington Realty Trust	Equity Real Estate Investment Trusts...	3.79B
LXRX	Lexicon Pharmaceuticals	Biotechnology	673.25M
LXU	LSB Industries	Chemicals	243.62M
LYB	LyondellBasell Industries	Chemicals	31.07B
LYEL	Lyell Immunopharma	Biotechnology	4.30B
LYFT	Lyft	Road & Rail	16.77B
LYG	Lloyds Banking Group	Banks	41.81B
LYL	Dragon Victory International	Consumer Finance	24.50M
LYRA	Lyra Therapeutics	Biotechnology	108.36M
LYTS	LSI Industries	Electrical Equipment	206.69M
LYV	Live Nation Entertainment	Entertainment	18.85B
LZ	LegalZoom.com	Chemicals	6.80B
LZB	La-Z-Boy Incorporated	Household Durables	1.49B
M	Macy's	Multiline Retail	6.39B
MA	Mastercard	IT Services	342.80B
MAA	Mid-America Apartment Communities	Equity Real Estate Investment Trusts...	21.78B
MAAC	Montes Archimedes Acquisition	Shell Companies	511.34M
MAC	Macerich	Equity Real Estate Investment Trusts...	3.60B
MACA	Moringa Acquisition	Shell Companies	259.49M
MACC	Mission Advancement	Shell Companies	97.70M
MACK	Merrimack Pharmaceuticals	Biotechnology	60.88M
MACQ	MCAP Acquisition	Shell Companies	27.11M
MACU	Mallard Acquisition	Shell Companies	136.81M
MAG	MAG Silver	Metals & Mining	2.15B
MAGS	Magal Security Systems	Electronic Equipment, Instruments & C...	127.01M
MAIN	Main Street Capital	Capital Markets	2.81B
MAN	ManpowerGroup	Professional Services	6.41B
MANH	Manhattan Associates	Software	10.29B
MANT	ManTech International	IT Services	3.13B
MANU	Manchester United	Entertainment	2.82B
MAPS	WM Technology	Software-Application	1.81B
MAQC	Maquia Capital Acquisition	Shell Companies	258.51M
MAR	Marriott International	Hotels, Restaurants & Leisure	44.17B
MARA	Marathon Digital Holdings	IT Services	3.56B
MARK	Remark Holdings	Internet & Direct Marketing Retail	129.02M
MARPS	Marine Petroleum Trust	Oil, Gas & Consumable Fuels	8.50M
MAS	Masco	Building Products	14.72B
MASI	Masimo	Health Care Equipment & Supplies	15.10B
MASS	908 Devices	Medical Devices	1.01B
MAT	Mattel	Leisure Products	6.98B
MATW	Matthews International	Commercial Services & Supplies	1.05B
MATX	Matson	Marine	3.77B
MAX	MediaAlpha	Internet Content & Information	843.84M
MAXN	Maxeon Solar Technologies	Semiconductors & Semiconductor Equipment	773.00M
MAXR	Maxar Technologies	Aerospace & Defense	2.23B
MAYS	J.W. Mays	Real Estate Management & Development	68.31M
MBAC	M3-Brigade Acquisition II	Shell Companies	493.50M
MBCN	Middlefield Banc	Banks	143.54M
MBI	MBIA Inc.	Insurance	569.63M
MBII	Marrone Bio Innovations	Chemicals	158.66M
MBIN	Merchants Bancorp	Thrifts & Mortgage Finance	1.05B
MBIO	Mustang Bio	Biotechnology	260.50M
MBOT	Microbot Medical	Health Care Equipment & Supplies	50.11M
MBRX	Moleculin Biotech	Biotechnology	87.37M
MBT	Mobile TeleSystems PJSC	Wireless Telecommunication Services	8.11B
MBTC	Nocturne Acquisition	Shell Companies	138.02M
MBUU	Malibu Boats	Leisure Products	1.44B
MBWM	Mercantile Bank	Banks	475.19M
MC	Moelis & Company	Capital Markets	4.07B
MCAD	Mountain Crest Acquisition II	Shell Companies	75.35M
MCAE	Mountain Crest Acquisition III	Shell Companies	68.57M
MCAF	Mountain Crest Acquisition IV	Shell Companies	69.54M
MCB	Metropolitan Bank Holding	Banks	636.41M
MCBC	Macatawa Bank	Banks	268.41M
MCBS	MetroCity Bankshares	Banks	507.44M
MCD	McDonald's	Hotels, Restaurants & Leisure	178.62B
MCF	Contango Oil & Gas	Oil, Gas & Consumable Fuels	737.99M
MCFE	McAfee	Software	9.08B
MCFT	MasterCraft Boat Holdings	Leisure Products	484.32M
MCG	Membership Collective Group	Hotels & Motels	2.78B
MCHP	Microchip Technology	Semiconductors & Semiconductor Equipment	43.16B
MCHX	Marchex	Media	124.66M
MCK	McKesson	Health Care Providers & Services	31.36B
MCMJ	Merida Merger Corp. I	Shell Companies	163.23M
MCO	Moody's	Capital Markets	71.23B
MCRB	Seres Therapeutics	Biotechnology	575.08M
MCRI	Monarch Casino & Resort	Hotels, Restaurants & Leisure	1.17B
MCS	Marcus Corporation	Entertainment	464.10M
MCW	Mister Car Wash	Personal Services	5.41B
MCY	Mercury General	Insurance	3.21B
MD	MEDNAX, Inc.	Health Care Providers & Services	2.54B
MDB	MongoDB	IT Services	32.35B
MDC	M.D.C. Holdings	Household Durables	3.58B
MDGL	Madrigal Pharmaceuticals	Biotechnology	1.33B
MDGS	Medigus	Health Care Equipment & Supplies	34.34M
MDH	MDH Acquisition	Shell Companies	338.79M
MDIA	Mediaco Holding	Broadcasting	62.99M
MDJH	MDJM Ltd.	Real Estate Management & Development	56.39M
MDLA	Medallia	Software	5.44B
MDLZ	Mondelez International	Food Products	84.19B
MDNA	Medicenna Therapeutics	Biotechnology	144.26M
MDP	Meredith Corporation	Media	1.85B
MDRR	Medalist Diversified REIT	Equity Real Estate Investment Trusts...	21.15M
MDRX	Allscripts Healthcare Solutions	Health Care Technology	1.79B
MDT	Medtronic	Health Care Equipment & Supplies	176.49B
MDU	MDU Resources Group	Multi-Utilities	6.24B
MDVL	MedAvail	Drug Manufacturers-Specialty & Generic	111.34M
MDWD	MediWound	Pharmaceuticals	105.17M
MDWT	Midwest Holding	Insurance-Life	139.78M
MDXG	MiMedx Group	Biotechnology	1.74B
ME	23andMe	Diagnostics & Research	3.43B
MEC	Mayville Engineering	Metals & Mining	285.02M
MED	Medifast	Personal Products	2.74B
MEDP	Medpace Holdings	Life Sciences Tools & Services	6.87B
MEDS	Trxade Group	Pharmaceutical Retailers	41.95M
MEG	Montrose Environmental Group	Media (discontinued effective close o...	1.50B
MEI	Methode Electronics	Electronic Equipment, Instruments & C...	1.64B
MEIP	MEI Pharma	Biotechnology	312.12M
MELI	MercadoLibre	Internet & Direct Marketing Retail	91.84B
MEOH	Methanex	Chemicals	3.00B
MERC	Mercer International	Paper & Forest Products	744.90M
MESA	Mesa Air Group	Airlines	266.31M
MESO	Mesoblast	Biotechnology	806.66M
MET	MetLife	Insurance	52.07B
METC	Ramaco Resources	Metals & Mining	574.30M
METX	Meten Edtechx Education	Education & Training Services	51.24M
MF	Missfresh	Grocery Stores	1.02B
MFA	MFA Financial	Mortgage Real Estate Investment Trus...	2.02B
MFC	Manulife Financial	Insurance	37.47B
MFG	Mizuho Financial Group	Banks	37.40B
MFGP	Micro Focus International	Software	1.82B
MFH	Mercurity Fintech Holding	Software	27.59M
MFIN	Medallion Financial	Consumer Finance	213.28M
MG	MISTRAS Group	Professional Services	269.60M
MGA	Magna International	Auto Components	23.79B
MGEE	MGE Energy	Electric Utilities	2.88B
MGI	MoneyGram International	IT Services	782.38M
MGIC	Magic Software Enterprises	Software	1.02B
MGLN	Magellan Health	Health Care Providers & Services	2.49B
MGM	MGM Resorts	Hotels, Restaurants & Leisure	20.38B
MGNI	Magnite	Internet & Direct Marketing Retail	3.96B
MGNX	MacroGenics	Biotechnology	1.53B
MGP	MGM Growth Properties	Equity Real Estate Investment Trusts...	6.33B
MGPI	MGP Ingredients	Beverages	1.40B
MGRC	McGrath RentCorp	Commercial Services & Supplies	1.67B
MGTA	Magenta Therapeutics	Biotechnology	374.25M
MGTX	MeiraGTx Holdings	Biotechnology	533.11M
MGY	Magnolia Oil & Gas	Oil, Gas & Consumable Fuels	3.78B
MGYR	Magyar Bancorp	Thrifts & Mortgage Finance	77.30M
MHH	Mastech Digital	Professional Services	198.68M
MHK	Mohawk Industries	Household Durables	12.95B
MHLD	Maiden Holdings	Insurance	270.50M
MHO	M/I Homes	Household Durables	1.84B
MIC	Macquarie Infrastructure	Transportation Infrastructure	3.49B
MICT	MICT, Inc.	Aerospace & Defense	251.48M
MIDD	Middleby Corporation	Machinery	9.69B
MILE	Metromile	Insurance-Property & Casualty	523.38M
MIME	Mimecast	Software	4.48B
MIMO	Airspan Networks	Telecom Services	641.02M
MIND	MIND Technology	Energy Equipment & Services	27.55M
MINM	Minim	Communication Equipment	101.75M
MIRM	Mirum Pharmaceuticals	Biotechnology	553.86M
MIRO	Miromatrix Medical	Biotechnology	175.44M
MIST	Milestone Pharmaceuticals	Pharmaceuticals	170.72M
MIT	Mason Industrial Technology	Shell Companies	605.62M
MITA	Coliseum Acquisition	Shell Companies	180.38M
MITC	Meat-Tech 3D	Packaged Foods	78.08M
MITK	Mitek Systems	Software	917.02M
MITO	Stealth BioTherapeutics	Biotechnology	78.31M
MITQ	Moving iMage Technologies	n/a	31.44M
MITT	AG Mortgage Investment Trust	Mortgage Real Estate Investment Trus...	168.82M
MIXT	MiX Telematics	Software	319.53M
MKC	McCormick	Food Products	23.20B
MKC.V	McCormick	Packaged Foods	22.86B
MKD	Molecular Data	Chemicals	73.77M
MKFG	Markforged	Computer Hardware	1.49B
MKL	Markel	Insurance	16.94B
MKSI	MKS Instruments	Semiconductors & Semiconductor Equipment	8.23B
MKTW	MarketWise	Software-Application	2.75B
MKTX	MarketAxess Holdings	Capital Markets	16.66B
MKTY	Mechanical Technology	Electronic Equipment, Instruments & C...	110.61M
MLAB	Mesa Laboratories	Health Care Equipment & Supplies	1.39B
MLAC	Malacca Straits Acquisition	Shell Companies	178.07M
MLCO	Melco Resorts & Entertainment	Hotels, Restaurants & Leisure	6.27B
MLHR	Herman Miller	Commercial Services & Supplies	3.03B
MLI	Mueller Industries	Machinery	2.43B
MLM	Martin Marietta	Construction Materials	23.05B
MLNK	MeridianLink	Software-Application	2.18B
MLP	Maui Land & Pineapple	Real Estate Management & Development	210.99M
MLR	Miller Industries	Machinery	406.22M
MLSS	Milestone Scientific	Health Care Equipment & Supplies	133.66M
MLVF	Malvern Bancorp	Banks	129.20M
MMAT	Meta Materials	Electronic Components	1.46B
MMC	Marsh & McLennan	Insurance	81.30B
MMI	Marcus & Millichap	Real Estate Management & Development	1.56B
MMLP	Martin Midstream Partners	Oil, Gas & Consumable Fuels	117.18M
MMM	3M Company	Industrial Conglomerates	106.79B
MMMB	MamaMancini's Holdings	Food Products	97.53M
MMP	Magellan Midstream Partners	Oil, Gas & Consumable Fuels	10.55B
MMS	Maximus	IT Services	5.10B
MMSI	Merit Medical Systems	Health Care Equipment & Supplies	4.03B
MMX	Maverix Metals	Metals & Mining	659.22M
MMYT	MakeMyTrip	Internet & Direct Marketing Retail	2.59B
MN	Manning & Napier	Capital Markets	177.01M
MNDO	MIND CTI Ltd.	Software	64.55M
MNDY	monday.com	Software-Application	16.26B
MNKD	MannKind Corporation	Biotechnology	1.17B
MNMD	MindMed	Biotechnology	936.87M
MNOV	MediciNova	Biotechnology	201.75M
MNPR	Monopar Therapeutics	Biotechnology	69.96M
MNR	Monmouth Real Estate Investment	Equity Real Estate Investment Trusts...	1.82B
MNRL	Brigham Minerals	Oil, Gas & Consumable Fuels	1.07B
MNRO	Monro, Inc.	Specialty Retail	1.82B
MNSB	MainStreet Bancshares	Banks	173.67M
MNSO	Miniso Group	Specialty Retail	4.16B
MNST	Monster Beverage	Beverages	50.73B
MNTK	Montauk Renewables	Utilities-Diversified	1.26B
MNTS	Momentus	Aerospace & Defense	867.12M
MNTV	Momentive	Software	2.89B
MNTX	Manitex International	Machinery	150.49M
MO	Altria	Tobacco	93.31B
MOD	Modine Manufacturing	Auto Components	584.81M
MODN	Model N	Software	1.31B
MODV	ModivCare	Health Care Providers & Services	2.43B
MOFG	MidWestOne Financial Group	Banks	464.66M
MOG.A	Moog Inc.	Aerospace & Defense	2.45B
MOG.B	Moog Inc.	Aerospace & Defense	2.83B
MOGO	Mogo Inc.	Consumer Finance	330.06M
MOGU	Mogu, Inc.	Internet & Direct Marketing Retail	114.02M
MOH	Molina Healthcare	Health Care Providers & Services	14.74B
MOHO	ECMOHO Limited	Internet & Direct Marketing Retail	32.46M
MOLN	Molecular Partners	Biotechnology	628.68M
MOMO	Hello Group	Interactive Media & Services	2.63B
MON	Monument Circle Acquisition	Shell Companies	303.75M
MOR	MorphoSys	Biotechnology	1.76B
MORF	Morphic Holding	Biotechnology	2.33B
MORN	Morningstar	Capital Markets	11.99B
MOS	Mosaic Company	Chemicals	12.07B
MOSY	MoSys	Semiconductors & Semiconductor Equipment	48.15M
MOTN	Motion Acquisition	Shell Companies	143.03M
MOTS	Motus GI Holdings	Health Care Equipment & Supplies	37.11M
MOTV	Motive Capital	Shell Companies	506.48M
MOV	Movado Group	Textiles, Apparel & Luxury Goods	734.38M
MOVE	Movano	Internet Software & Services (discont...	114.70M
MOXC	Moxian	Internet & Direct Marketing Retail	142.35M
MP	MP Materials	Metals & Mining	6.06B
MPAA	Motorcar Parts of America	Auto Components	347.78M
MPAC	Model Performance Acquisition	Shell Companies	70.47M
MPB	Mid Penn Bancorp	Banks	297.44M
MPC	Marathon Petroleum	Oil, Gas & Consumable Fuels	36.29B
MPLN	MultiPlan	Healthcare Plans	4.20B
MPLX	MPLX LP	Oil, Gas & Consumable Fuels	28.86B
MPW	Medical Properties Trust	Equity Real Estate Investment Trusts...	12.55B
MPWR	Monolithic Power Systems	Semiconductors & Semiconductor Equipment	22.69B
MPX	Marine Products	Leisure Products	437.16M
MQ	Marqeta	Software-Infrastructure	14.49B
